accident_id;timestamp;address
1309504;03/03/2013 15:30;AVENUE DE GRAVELLE
1309505;28/07/2013 03:55;ROUTE DE LA PYRAMIDE
1309506;21/04/2013 11:10;ROUTE DU PESAGE
1309507;04/03/2013 14:15;AVENUE DE NOGENT
1309508;12/03/2012 22:45;11, AVENUE DU TREMBLAY
1309509;14/11/2013 10:05;1, AVENUE DE NOGENT
1309510;31/08/2013 03:06;QUAI DE LA RAPEE
1309511;03/05/2013 12:27;02, AVENUE LEDRU ROLLIN
1309512;29/11/2013 19:15;24, BOULEVARD DE LA BAST
1309513;30/10/2012 09:30;QUAI DE LA RAPEE
1309514;03/07/2012 17:50;QUAI DE LA RAPEE
1309515;13/05/2012 10:40;QUAI DE LA RAPEE
1309516;03/01/2013 09:00;86, QUAI DE LA RAPEE
1309517;12/06/2013 10:15;88, QUAI DE LA RAPEE
1309518;05/12/2012 02:25;97, PLACE DE LA BASTILLE
1309519;27/08/2012 08:45;PLACE DE LA BASTILLE
1309520;01/01/2013 00:20;PLACE DE LA BASTILLE
1309521;29/10/2012 12:30;120, RUE DE LYON
1309522;25/11/2012 09:50;QUAI DE LA RAPEE
1309523;15/11/2013 07:10;/, PONT CHARLES DE GAULL
1309524;10/08/2013 22:30;QUAI DE LA RAPEE
1309525;10/12/2012 14:25;13, BOULEVARD DIDEROT
1309526;02/12/2013 12:50;13, BOULEVARD DIDEROT
1309527;11/11/2013 16:20;RUE DE LYON
1309528;07/02/2012 22:02;7, RUE DE LYON
1309529;22/05/2013 11:00;4BIS, RUE DE LYON
1309530;18/08/2013 22:20;21 TER, BOULEVARD DIDERO
1309531;26/05/2012 18:50;AVENUE DAUMESNIL
1309532;17/07/2012 12:10;AVENUE DAUMESNIL
1309533;24/06/2012 19:30;23 BIS, BOULEVARD DIDERO
1309534;12/01/2013 16:00;PORTE D ITALIE
1309535;11/08/2012 19:50;AVENUE DE LA PTE ITALIE
1309536;12/09/2012 18:00;AVENUE DE LA PORTE D ITA
1309537;23/06/2013 08:34;51-55, BOULEVARD MASSENA
1309538;26/07/2012 08:59;BPI IVRY ITALIE
1309539;14/12/2013 15:45;33, AVENUE DE CHOISY
1309540;09/07/2012 21:10;128, BOULEVARD VINCENT A
1309541;30/12/2012 18:40;0, RUE BAUDRICOURT
1309542;25/04/2013 22:20;RUE DE TOLBIAC
1309543;08/02/2013 20:10;RUE DE TOLBIAC
1309544;30/08/2013 13:00;111, RUE DE TOLBIAC
1309545;16/12/2013 12:40;RUE DE TOLBIAC
1309546;21/03/2012 19:00;BOULEVARD VINCENT AURIOL
1309547;09/08/2013 19:15;RUE JEANNE D ARC
1309548;01/01/2013 05:15;5, BOULEVARD DE L HOPITA
1309549;02/04/2013 14:50;7 BIS, BOULEVARD DE L HO
1309550;03/01/2012 14:30;19, AVENUE DE CHOISY
1309551;02/08/2013 13:00;BOULEVARD DE L HOPITAL
1309552;15/05/2012 12:30;80, BOULEVARD VINCENT AU
1309553;16/05/2013 10:00;2, RUE JENNER
1309554;19/09/2012 07:10;103, RUE DE TOLBIAC
1309555;30/07/2012 22:45;123, RUE DU CHATEAU DES
1309556;11/02/2013 08:00;74, RUE JEANNE D ARC
1309557;23/01/2013 18:00;RUE JEANNE D ARC
1309558;26/09/2013 14:40;RUE CHARLES LEROY
1309559;30/09/2013 10:05;1, AVENUE DE LA PORTE DE
1309560;21/05/2013 12:30;20, AVENUE D IVRY
1309561;06/12/2012 12:30;68, QUAI D AUSTERLITZ
1309562;24/06/2012 18:30;QUAI D AUSTERLITZ
1309563;14/08/2013 20:45;PONT CHARLES DE GAULLE
1309564;26/07/2012 09:55;71, RUE DE TOLBIAC
1309565;19/09/2012 20:05;75, RUE DE TOLBIAC
1309566;10/03/2013 07:30;64, RUE DE TOLBIAC
1309567;02/02/2013 19:10;RUE REGNAULT
1309568;28/01/2013 08:50;61, BOULEVARD VINCENT AU
1309569;02/09/2012 17:05;65, RUE DE TOLBIAC
1309570;25/06/2013 12:30;2, AVENUE DE LA PORTE D
1309571;23/11/2013 17:47;75, BOULEVARD MASSENA
1309572;06/04/2013 13:35;BOULEVARD VINCENT AURIOL
1309573;29/05/2013 18:10;46, AVENUE DE LA PORTE D
1309574;21/06/2012 10:10;21, QUAI D AUSTERLITZ
1309575;03/02/2012 09:30;34, RUE DE TOLBIAC
1309576;23/03/2012 21:35;34, RUE DE TOLBIAC
1309577;30/04/2013 08:50;AVENUE DE LA PORTE D IVR
1309578;29/02/2012 09:00;46, BOULEVARD MASSENA
1309579;19/04/2013 07:25;42, BOULEVARD MASSENA
1309580;20/10/2012 02:00;BOULEVARD VINCENT AURIOL
1309581;19/08/2012 02:25;83, QUAI DE LA GARE
1309582;06/05/2012 07:33;AVENUE BOUTROUX
1309583;05/10/2012 22:45;23, BOULEVARD MASSENA
1309584;26/02/2013 13:40;7, BOULEVARD MASSENA
1309585;24/12/2012 18:40;RUE DE TOLBIAC
1309586;29/11/2013 17:10;BOULEVARD DU GENERAL JEA
1309587;09/09/2012 10:35;20, AVENUE DE LA PORTE D
1309588;29/05/2013 02:10;5, RUE DU CHEVALERET
1309589;20/09/2013 06:25;9, RUE DE TOLBIAC
1309590;25/10/2013 13:20;1, RUE NEUVE TOLBIAC
1309591;20/09/2012 09:15;RUE RENE GOSCINNY
1309592;03/06/2012 17:55;71, QUAI PANHARD ET LEVA
1309593;10/10/2012 10:00;39/41, RUE DE LA GLACIER
1309594;13/10/2012 09:20;BOULEVARD AUGUSTE BLANQU
1309595;11/01/2012 19:40;114, BOULEVARD AUGUSTE B
1309596;14/10/2012 19:45;PORTE D ITALIE
1309597;07/05/2012 20:40;ECHANGEUR ITALIE
1309598;21/10/2013 16:15;77, AVENUE D ITALIE
1309599;20/11/2012 06:20;AVENUE DE LA PORTE D ITA
1309600;16/09/2013 18:20;63, BOULEVARD KELLERMANN
1309601;12/08/2013 19:39;56, BOULEVARD KELLERMANN
1309602;26/11/2013 08:10;PORTE DE GENTILLY
1309603;21/06/2012 14:00;146, BOULEVARD DE L HOPI
1309604;17/06/2013 14:20;7BIS, RUE ABEL HOVELACQU
1309605;10/03/2012 09:05;153, AVENUE DE CHOISY
1309606;02/08/2012 16:20;185, AVENUE DE CHOISY
1309607;21/05/2013 01:00;164, RUE DU CHATEAU DES
1309608;13/03/2012 13:40;94, RUE DE TOLBIAC
1309609;03/08/2013 13:55;90, RUE DE TOLBIAC
1309610;23/04/2012 09:00;122, RUE DE TOLBIAC
1309611;17/11/2013 10:20;15, RUE BARRAULT
1309612;06/11/2013 08:40;19, RUE VERGNIAUD
1309613;02/03/2012 00:05;22, AVENUE D ITALIE
1309614;27/10/2012 20:25;12, AVENUE D ITALIE
1309615;20/11/2013 13:45;6, BOULEVARD AUGUSTE BLA
1309616;19/03/2013 15:40;120, BOULEVARD VINCENT A
1309617;13/09/2012 18:20;139, BOULEVARD VINCENT A
1309618;21/11/2012 13:15;4, BOULEVARD DE L HOPITA
1309619;16/02/2013 02:05;9, BOULEVARD DE L HOPITA
1309620;06/09/2012 00:07;34, BOULEVARD DE L HOPIT
1309621;30/10/2013 08:45;32, AVENUE DES GOBELINS
1309622;16/02/2012 14:52;122, BOULEVARD DE L HOPI
1309623;07/09/2013 10:00;41, RUE JENNER
1309624;24/05/2012 10:00;83, BOULEVARD DE L HOPIT
1309625;15/10/2013 20:30;12, BOULEVARD ARAGO
1309626;19/06/2013 18:05;33, AVENUE DE LA PORTE D
1309627;26/12/2012 13:40;68, BOULEVARD MASSENA
1309628;06/12/2013 16:45;107, BOULEVARD MASSENA
1309629;02/10/2013 00:01;100, BOULEVARD MASSENA
1309630;26/11/2013 17:25;PORTE D ITALIE
1309631;27/08/2013 16:20;75, AVENUE D IVRY
1309632;07/07/2012 16:50;PORTE D ITALIE
1309633;02/04/2013 10:10;BPE ITALIE IVRY
1309634;23/01/2012 00:10;256, RUE DE RIVOLI
1309635;30/06/2013 21:00;1, RUE SAINT FLORENTIN
1309636;12/05/2012 21:00;RUE SAINT FLORENTIN
1309637;19/02/2013 09:29;248, RUE DE RIVOLI
1309638;04/01/2012 12:00;23, RUE DU MONT THABOR
1309639;19/06/2012 14:25;BOULEVARD DE LA MADELEIN
1309640;15/02/2012 11:05;01, PLACE VENDOME
1309641;24/10/2012 10:00;1, PLACE VENDOME
1309642;16/07/2012 17:00;26, PLACE VENDOME
1309643;14/03/2012 16:15;208, RUE DE RIVOLI
1309644;05/11/2012 16:50;199, RUE SAINT HONORE
1309645;02/07/2013 14:05;192, RUE DE RIVOLI
1309646;03/01/2013 04:05;192, RUE DE RIVOLI
1309647;13/06/2013 10:45;99, RUE DE RIVOLI
1309648;09/04/2013 10:15;192, RUE DE RIVOLI
1309649;04/02/2012 15:20;PLACE DU CARROUSEL
1309650;19/04/2012 04:40;QUAI DES TUILERIES
1309651;11/02/2013 19:00;04, QUAI DU LOUVRE
1309652;07/03/2012 15:25;26, AVENUE DE L OPERA
1309653;26/03/2013 00:40;AVENUE DE L OPERA
1309654;14/02/2012 10:10;7, RUE DE L ECHELLE
1309655;05/11/2012 08:55;165, RUE SAINT HONORE
1309656;17/12/2012 08:50;10, AVENUE DE L OPERA
1309657;30/12/2012 20:40;RUE DE RIVOLI
1309658;26/07/2013 10:57;172, RUE DE RIVOLI
1309659;07/06/2012 19:55;159, RUE SAINT HONORE
1309660;28/11/2013 09:15;25, RUE MOLIERE
1309661;05/05/2013 15:45;168, RUE DE RIVOLI
1309662;30/05/2013 16:40;3, RUE DE VALOIS
1309663;04/09/2012 17:45;RUE CROIX DES PETITS CHA
1309664;02/06/2013 09:40;01, QUAI FRANCOIS MITTER
1309665;19/07/2013 15:25;QUAI FRANCOIS MITTERRAND
1309666;17/05/2013 16:45;16, RUE DU LOUVRE
1309667;03/08/2012 08:45;PONT NEUF
1309668;26/11/2012 09:25;33, RUE JEAN JACQUES ROU
1309669;24/04/2012 19:10;144, RUE DE RIVOLI
1309670;24/10/2013 14:20;146, RUE DE RIVOLI
1309671;20/09/2012 00:30;15 BIS, RUE DU LOUVRE
